,Unnamed: 0,year,pick,pick_team,player,draft_team,extra_check,pick_team_normalized
105,105,2011,2,Minnesota Timberwolves,Derrick Williams,Minnesota Timberwolves,False,minnesota timberwolves
106,106,2011,3,New Jersey Nets,Enes Freedom,Utah Jazz,True,brooklyn nets
107,107,2011,4,Cleveland Cavaliers,Tristan Thompson,Cleveland Cavaliers,False,cleveland cavaliers
108,108,2012,1,New Orleans Hornets,Anthony Davis,New Orleans Hornets,False,new orleans pelicans
109,109,2012,2,Charlotte Bobcats,Michael Kidd-Gilchrist,Charlotte Bobcats,False,charlotte hornets
110,110,2012,3,Washington Wizards,Bradley Beal,Washington Wizards,False,washington wizards
111,111,2012,4,Cleveland Cavaliers,Dion Waiters,Cleveland Cavaliers,False,cleveland cavaliers
112,112,2013,1,Cleveland Cavaliers,Anthony Bennett,Cleveland Cavaliers,False,cleveland cavaliers
113,113,2013,2,Orlando Magic,Victor Oladipo,Orlando Magic,False,orlando magic
114,114,2013,3,Washington Wizards,Otto Porter,Washington Wizards,False,washington wizards
115,115,2013,4,Charlotte Bobcats,Cody Zeller,Charlotte Bobcats,False,charlotte hornets
116,116,2014,1,Cleveland Cavaliers,Andrew Wiggins,Cleveland Cavaliers,False,cleveland cavaliers
117,117,2014,2,Milwaukee Bucks,Jabari Parker,Milwaukee Bucks,False,milwaukee bucks
118,118,2014,3,Philadelphia Sixers,Joel Embiid,Philadelphia Sixers,False,philadelphia 76ers
119,119,2014,4,Orlando Magic,Aaron Gordon,Orlando Magic,False,orlando magic
120,120,2015,1,Minnesota Timberwolves,Karl-Anthony Towns,Minnesota Timberwolves,False,minnesota timberwolves
121,121,2015,2,Los Angeles Lakers,D'Angelo Russell,Los Angeles Lakers,False,los angeles lakers
122,122,2015,3,Philadelphia Sixers,Jahlil Okafor,Philadelphia Sixers,False,philadelphia 76ers
123,123,2015,4,New York Knicks,Kristaps Porzingis,New York Knicks,False,new york knicks
124,124,2016,1,Philadelphia Sixers,Ben Simmons,Philadelphia Sixers,False,philadelphia 76ers
125,125,2016,2,Los Angeles Lakers,Brandon Ingram,Los Angeles Lakers,False,los angeles lakers
126,126,2016,3,Brooklyn Nets,Jaylen Brown,Boston Celtics,True,brooklyn nets
127,127,2016,4,Phoenix Suns,Dragan Bender,Phoenix Suns,False,phoenix suns
128,128,2017,1,Brooklyn Nets,Markelle Fultz,Philadelphia Sixers,True,brooklyn nets
129,129,2017,2,Los Angeles Lakers,Lonzo Ball,Los Angeles Lakers,False,los angeles lakers
130,130,2017,3,Sacramento Kings,Jayson Tatum,Boston Celtics,True,sacramento kings
131,131,2017,4,Phoenix Suns,Josh Jackson,Phoenix Suns,False,phoenix suns
132,132,2018,1,Phoenix Suns,Deandre Ayton,Phoenix Suns,False,phoenix suns
133,133,2018,2,Sacramento Kings,Marvin Bagley III,Sacramento Kings,False,sacramento kings
134,134,2018,3,Atlanta Hawks,Luka Doncic,Atlanta Hawks,False,atlanta hawks
135,135,2018,4,Memphis Grizzlies,"Jaren Jackson, Jr.",Memphis Grizzlies,False,memphis grizzlies
136,136,2019,1,New Orleans Pelicans,Zion Williamson,New Orleans Pelicans,False,new orleans pelicans
137,137,2019,2,Memphis Grizzlies,Ja Morant,Memphis Grizzlies,False,memphis grizzlies
138,138,2019,3,New York Knicks,R.J. Barrett,New York Knicks,False,new york knicks
139,139,2019,4,Los Angeles Lakers,De'Andre Hunter,Los Angeles Lakers,False,los angeles lakers
140,140,2020,1,Minnesota Timberwolves,Anthony Edwards,Minnesota Timberwolves,False,minnesota timberwolves
141,141,2020,2,Golden State Warriors,James Wiseman,Golden State Warriors,False,golden state warriors
142,142,2020,3,Charlotte Hornets,LaMelo Ball,Charlotte Hornets,False,charlotte hornets
143,143,2020,4,Chicago Bulls,Patrick Williams,Chicago Bulls,False,chicago bulls
144,144,2021,1,Detroit Pistons,Cade Cunningham,Detroit Pistons,False,detroit pistons
145,145,2021,2,Houston Rockets,Jalen Green,Houston Rockets,False,houston rockets
146,146,2021,3,Cleveland Cavaliers,Evan Mobley,Cleveland Cavaliers,False,cleveland cavaliers
147,147,2021,4,Toronto Raptors,Scottie Barnes,Toronto Raptors,False,toronto raptors
148,148,2022,1,Orlando Magic,Paolo Banchero,Orlando Magic,False,orlando magic
149,149,2022,2,Oklahoma City Thunder,Chet Holmgren,Oklahoma City Thunder,False,oklahoma city thunder
150,150,2022,3,Houston Rockets,"Jabari Smith, Jr.",Houston Rockets,False,houston rockets
151,151,2022,4,Sacramento Kings,Keegan Murray,Sacramento Kings,False,sacramento kings
152,152,2023,1,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs,False,san antonio spurs
153,153,2023,2,Charlotte Hornets,Brandon Miller,Charlotte Hornets,False,charlotte hornets
154,154,2023,3,Portland Trail Blazers,Scoot Henderson,Portland Trail Blazers,False,portland trail blazers
155,155,2023,4,Houston Rockets,Amen Thompson,Houston Rockets,False,houston rockets
156,156,2024,1,Atlanta Hawks,Zaccharie Risacher,Atlanta Hawks,False,atlanta hawks
157,157,2024,2,Washington Wizards,Alex Sarr,Washington Wizards,False,washington wizards
158,158,2024,3,Brooklyn Nets,Reed Sheppard,Houston Rockets,True,brooklyn nets
159,159,2024,4,San Antonio Spurs,Stephon Castle,San Antonio Spurs,False,san antonio spurs
