,Unnamed: 0,year,team,rank_regular,rank_playoffs,team_normalized
468,468,2002,Toronto Raptors,16,0,toronto raptors
469,469,2002,Milwaukee Bucks,17,-1,milwaukee bucks
470,470,2002,Los Angeles Clippers,18,-1,los angeles clippers
471,471,2002,Washington Wizards,19,-1,washington wizards
472,472,2002,Miami Heat,20,-1,miami heat
473,473,2002,Phoenix Suns,21,-1,phoenix suns
474,474,2002,Atlanta Hawks,22,-1,atlanta hawks
475,475,2002,New York Knicks,23,-1,new york knicks
476,476,2002,Cleveland Cavaliers,24,-1,cleveland cavaliers
477,477,2002,Houston Rockets,25,-1,houston rockets
478,478,2002,Denver Nuggets,26,-1,denver nuggets
479,479,2002,Memphis Grizzlies,27,-1,memphis grizzlies
480,480,2002,Chicago Bulls,28,-1,chicago bulls
481,481,2002,Golden State Warriors,29,-1,golden state warriors
482,482,2003,Dallas Mavericks,1,2,dallas mavericks
483,483,2003,San Antonio Spurs,2,4,san antonio spurs
484,484,2003,Sacramento Kings,3,1,sacramento kings
485,485,2003,Minnesota Timberwolves,4,0,minnesota timberwolves
486,486,2003,Detroit Pistons,5,2,detroit pistons
487,487,2003,Los Angeles Lakers,6,1,los angeles lakers
488,488,2003,Portland Trail Blazers,7,0,portland trail blazers
489,489,2003,New Jersey Nets,8,3,brooklyn nets
490,490,2003,Indiana Pacers,9,0,indiana pacers
491,491,2003,Philadelphia 76ers,10,1,philadelphia 76ers
492,492,2003,New Orleans Hornets,11,0,new orleans pelicans
493,493,2003,Utah Jazz,12,0,utah jazz
494,494,2003,Boston Celtics,13,1,boston celtics
495,495,2003,Phoenix Suns,14,0,phoenix suns
496,496,2003,Houston Rockets,15,-1,houston rockets
497,497,2003,Milwaukee Bucks,16,0,milwaukee bucks
498,498,2003,Orlando Magic,17,0,orlando magic
499,499,2003,Seattle SuperSonics,18,-1,oklahoma city thunder
500,500,2003,Golden State Warriors,19,-1,golden state warriors
501,501,2003,New York Knicks,20,-1,new york knicks
502,502,2003,Washington Wizards,21,-1,washington wizards
503,503,2003,Atlanta Hawks,22,-1,atlanta hawks
504,504,2003,Chicago Bulls,23,-1,chicago bulls
505,505,2003,Memphis Grizzlies,24,-1,memphis grizzlies
506,506,2003,Los Angeles Clippers,25,-1,los angeles clippers
507,507,2003,Miami Heat,26,-1,miami heat
508,508,2003,Toronto Raptors,27,-1,toronto raptors
509,509,2003,Cleveland Cavaliers,28,-1,cleveland cavaliers
510,510,2003,Denver Nuggets,29,-1,denver nuggets
511,511,2004,Indiana Pacers,1,2,indiana pacers
512,512,2004,Minnesota Timberwolves,2,2,minnesota timberwolves
513,513,2004,San Antonio Spurs,3,1,san antonio spurs
514,514,2004,Los Angeles Lakers,4,3,los angeles lakers
515,515,2004,Sacramento Kings,5,1,sacramento kings
516,516,2004,Detroit Pistons,6,4,detroit pistons
517,517,2004,Dallas Mavericks,7,0,dallas mavericks
518,518,2004,Memphis Grizzlies,8,0,memphis grizzlies
519,519,2004,New Jersey Nets,9,1,brooklyn nets
520,520,2004,Houston Rockets,10,0,houston rockets
521,521,2004,Denver Nuggets,11,0,denver nuggets
522,522,2004,Miami Heat,12,1,miami heat
523,523,2004,Utah Jazz,13,-1,utah jazz
524,524,2004,Milwaukee Bucks,14,0,milwaukee bucks
525,525,2004,New Orleans Hornets,15,0,new orleans pelicans
526,526,2004,Portland Trail Blazers,16,-1,portland trail blazers
527,527,2004,New York Knicks,17,0,new york knicks
528,528,2004,Golden State Warriors,18,-1,golden state warriors
529,529,2004,Seattle SuperSonics,19,-1,oklahoma city thunder
530,530,2004,Boston Celtics,20,0,boston celtics
531,531,2004,Cleveland Cavaliers,21,-1,cleveland cavaliers
532,532,2004,Philadelphia 76ers,22,-1,philadelphia 76ers
533,533,2004,Toronto Raptors,23,-1,toronto raptors
534,534,2004,Phoenix Suns,24,-1,phoenix suns
535,535,2004,Atlanta Hawks,25,-1,atlanta hawks
536,536,2004,Los Angeles Clippers,26,-1,los angeles clippers
537,537,2004,Washington Wizards,27,-1,washington wizards
538,538,2004,Chicago Bulls,28,-1,chicago bulls
